feature_id;axis;nominal;lie_customer;lse_customer;lie_internal;lse_internal;feature_description;on_accuracy
PARTCM1X_02R_X;Pos X;588.3;-4;4;-8;8;CM#1 - Mensula RH Out - Pos X;FALSE
PARTCM1X_02R_Y;Pos Y;223.5;-3;3;-6;6;CM#1 - Mensula RH Out - Pos Y;FALSE
PARTCM1X_02R_Z;Pos Z;792.2;-3;3;-6;6;CM#1 - Mensula RH Out - Pos Z;FALSE
PARTCM1X_03R_X;Pos X;588.3;-4;4;-8;8;CM#1 - Mensula RH Inn - Pos X;FALSE
PARTCM1X_03R_Y;Pos Y;171.5;-3;3;-6;6;CM#1 - Mensula RH Inn - Pos Y;FALSE
PARTCM1X_03R_Z;Pos Z;792.2;-3;3;-6;6;CM#1 - Mensula RH Inn - Pos Z;FALSE
PARTCM1X_02L_X;Pos X;588.3;-4;4;-6;6;CM#1 - Mensula LH Out - Pos X;FALSE
PARTCM1X_02L_Y;Pos Y;-223.5;-3;3;-6;6;CM#1 - Mensula LH Out - Pos Y;FALSE
PARTCM1X_02L_Z;Pos Z;792.2;-3;3;-8;8;CM#1 - Mensula LH Out - Pos Z;FALSE
PARTCM1X_03L_X;Pos X;588.3;-4;4;-6;6;CM#1 - Mensula LH Inn - Pos X;FALSE
PARTCM1X_03L_Y;Pos Y;-171.5;-3;3;-6;6;CM#1 - Mensula LH Inn - Pos Y;FALSE
PARTCM1X_03L_Z;Pos Z;792.2;-3;3;-6;6;CM#1 - Mensula LH Inn - Pos Z;FALSE
PART02_P21_X;Dist X;1107.1;-4;4;-8;8;Cab # 1 RH vs Cab # 2 RH - Dist X;TRUE
PART02_P21_Y;Dist Y;160.8;-4;4;-8;8;Cab # 1 RH vs Cab # 2 RH - Dist Y;TRUE
PART02_P21_Z;Dist Z;158.9;-3;3;-6;6;Cab # 1 RH vs Cab # 2 RH - Dist Z;TRUE
PART02_P22_X;Dist X;1107.1;-4;4;-8;8;Cab # 1 RH vs Cab # 2 LH - Dist X;TRUE
PART02_P22_Y;Dist Y;1080;-4;4;-8;8;Cab # 1 RH vs Cab # 2 LH - Dist Y;TRUE
PART02_P23_Y;Dist Y;1240.8;-4;4;-8;8;Cab # 2 RH vs Cab # 2 LH - Dist X;TRUE
PART02_P23_Z;Dist Z;0;-3;3;-6;6;Cab # 2 RH vs Cab # 2 LH - Dist Z;TRUE
PART02_P24_Z;Dist Z;158.9;-3;3;-6;6;Cab # 1 LH vs Cab # 2 LH - Dist Z;TRUE
PART02_P25_Z;Dist Z;0;-4;4;-8;8;A+B (P1_Z + P23_Z);TRUE
PART02_P26_Z;Dist Z;0;-4;4;-8;8;B+C (P23_Z + P16_Z);TRUE
PART06_P7_X;Dist X;137.6;-3;3;-6;6;Front Hole RH vs Rear Hole RH - Dist X;TRUE
PART06_P7_Y;Dist Y;0;-3;3;-6;6;Front Hole RH vs Rear Hole RH - Dist Y;TRUE
PART06_P7_Z;Dist Z;10.8;-3;3;-6;6;Front Hole RH vs Rear Hole RH - Dist Z;TRUE
PART06_P8_X;Dist X;137.6;-3;3;-6;6;Front Hole LH vs Rear Hole LH - Dist X;TRUE
PART06_P8_Y;Dist Y;0;-3;3;-6;6;Front Hole LH vs Rear Hole LH - Dist Y;TRUE
PART06_P8_Z;Dist Z;10.8;-3;3;-6;6;Front Hole LH vs Rear Hole LH - Dist Z;TRUE
PART07_P20_X;Dist X;33.9;-3;3;-6;6;Buje Lower RH vs LCA RH CM#1 Pt-Sim - Dist X;TRUE
PART07_P20_Y;Dist Y;82.8;-3;3;-6;6;Buje Lower RH vs LCA RH CM#1 Pt-Sim - Dist Y;TRUE
PART07_P20_Z;Dist Z;46.4;-3;3;-6;6;Buje Lower RH vs LCA RH CM#1 Pt-Sim - Dist Z;TRUE
PART07_P21_Z;Dist Z;133.5;-3;3;-6;6;Buje Lower RH vs Buje Upper RH - Dist Z;TRUE
PART07_P22_Y;Dist Y;515;-3;3;-6;6;Buje Lower RH vs Buje Lower LH - Dist Y;TRUE
PART07_P23_X;Dist X;33.9;-3;3;-6;6;Buje Lower LH vs LCA LH CM#1 Pt-Sim - Dist X;TRUE
PART07_P23_Y;Dist Y;82.8;-3;3;-6;6;Buje Lower LH vs LCA LH CM#1 Pt-Sim - Dist Y;TRUE
PART07_P23_Z;Dist Z;46.4;-3;3;-6;6;Buje Lower LH vs LCA LH CM#1 Pt-Sim - Dist Z;TRUE
PARTA2_P5_X;Dist X;168.3;-3;3;-6;6;Tueca bracket CM1 RH vs Tuerca mas RH CM AUX - Dist X;TRUE
PARTA2_P5_Z;Dist Z;80.1;-3;3;-6;6;Tueca bracket CM1 RH vs Tuerca mas RH CM AUX - Dist Z;TRUE
